model_family,model_name,max_length,truncation_strategy,accuracy,f1,auc,training_time_seconds,inference_time_seconds
BiLSTM,BiLSTM_T128_head-only,128,head-only,0.73,0.7497590272113888,0.8148404288000001,4.039316654205322,2.205188035964966
BiLSTM,BiLSTM_T128_head+tail,128,head+tail,0.79608,0.8000313799325331,0.8781822911999999,4.018038749694824,2.3648247718811035
BiLSTM,BiLSTM_T256_head-only,256,head-only,0.6554,0.6695308604089149,0.7179459072000001,4.479295015335083,2.817335605621338
BiLSTM,BiLSTM_T256_head+tail,256,head+tail,0.75196,0.7580286416669918,0.8222364576000001,4.496967792510986,2.8313400745391846
BiLSTM,BiLSTM_T512_head-only,512,head-only,0.71372,0.6947063089195069,0.777268208,5.155495643615723,3.636715888977051
BiLSTM,BiLSTM_T512_head+tail,512,head+tail,0.74768,0.7494837172359015,0.8187731648000001,5.195005178451538,3.73344087600708
RoBERTa,RoBERTa_T128_head-only,128,head-only,0.89832,0.8959731543624161,0.9659752128000001,100.35463905334473,40.262815952301025
RoBERTa,RoBERTa_T128_head+tail,128,head+tail,0.9234,0.9221576358684607,0.9774801952000001,101.29381608963013,37.55977916717529
RoBERTa,RoBERTa_T256_head-only,256,head-only,0.92984,0.9298624440179143,0.979866672,165.84095859527588,66.7980432510376
RoBERTa,RoBERTa_T256_head+tail,256,head+tail,0.92312,0.9273840108810639,0.9855280703999999,163.20122480392456,65.18017601966858
RoBERTa,RoBERTa_T512_head-only,512,head-only,0.94672,0.9469195823702877,0.9869334175999999,307.42496943473816,134.6390450000763
RoBERTa,RoBERTa_T512_head+tail,512,head+tail,0.94668,0.9456118160675671,0.9878733472000001,316.40332674980164,142.1488218307495
