model,split,metric_scope,length_bin,max_length,truncation_strategy,accuracy,f1,auc,training_time_seconds,inference_time_seconds
Logistic Regression,validation,overall,all,,,0.8934,0.8949339641237927,0.9605150399999999,6.723432779312134,4.272195100784302
Logistic Regression,validation,by_length,short,,,0.8847161572052402,0.893719806763285,0.9614696657845733,6.723432779312134,4.272195100784302
Logistic Regression,validation,by_length,medium,,,0.8945380592678676,0.8925717667949097,0.9601332462778367,6.723432779312134,4.272195100784302
Logistic Regression,validation,by_length,long,,,0.9079903147699758,0.915929203539823,0.959136432350718,6.723432779312134,4.272195100784302
Logistic Regression,test,overall,all,,,0.8918,0.8923554458991604,0.9578932287999999,6.723432779312134,4.272195100784302
Logistic Regression,test,by_length,short,,,0.8988065221045554,0.9046865104496516,0.960505938185769,6.723432779312134,4.272195100784302
Logistic Regression,test,by_length,medium,,,0.8896942771964693,0.887484347981635,0.9572423574212566,6.723432779312134,4.272195100784302
Logistic Regression,test,by_length,long,,,0.8888888888888888,0.8942213516160626,0.9546103631170951,6.723432779312134,4.272195100784302
BiLSTM_T128_head-only,validation,overall,all,128.0,head-only,0.735,0.7587839067904606,0.8318048800000002,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,validation,by_length,short,128.0,head-only,0.7676855895196506,0.7972560975609756,0.8650090659609919,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,validation,by_length,medium,128.0,head-only,0.7277745496804183,0.7464140730717186,0.8237033259525413,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,validation,by_length,long,128.0,head-only,0.7046004842615012,0.7489711934156379,0.7920209750566893,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,test,overall,all,128.0,head-only,0.73,0.7497590272113888,0.8148404288000001,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,test,by_length,short,128.0,head-only,0.7888720793410657,0.807656967840735,0.8705007607539337,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,test,by_length,medium,128.0,head-only,0.7180686268778862,0.7350436741196507,0.8017474145637487,4.039316654205322,2.205188035964966
BiLSTM_T128_head-only,test,by_length,long,128.0,head-only,0.654835390946502,0.7005800981704596,0.7261194410444716,4.039316654205322,2.205188035964966
BiLSTM_T128_head+tail,validation,overall,all,128.0,head+tail,0.8038,0.8096254608965651,0.8831768,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,validation,by_length,short,128.0,head+tail,0.8183406113537118,0.838006230529595,0.8868684455552289,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,validation,by_length,medium,128.0,head+tail,0.8018593840790238,0.8008177570093458,0.8833905817848541,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,validation,by_length,long,128.0,head+tail,0.7796610169491526,0.7955056179775281,0.8685752078609221,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,test,overall,all,128.0,head+tail,0.79608,0.8000313799325331,0.8781822911999999,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,test,by_length,short,128.0,head+tail,0.809043536728862,0.8257134090211722,0.8895107723436773,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,test,by_length,medium,128.0,head+tail,0.7969836908867715,0.7943875436623054,0.8807324075907426,4.018038749694824,2.3648247718811035
BiLSTM_T128_head+tail,test,by_length,long,128.0,head+tail,0.7484567901234568,0.7654676258992805,0.8231536022711817,4.018038749694824,2.3648247718811035
BiLSTM_T256_head-only,validation,overall,all,256.0,head-only,0.6702,0.6848843875406077,0.7336216,4.479295015335083,2.817335605621338
BiLSTM_T256_head-only,validation,by_length,short,256.0,head-only,0.6960698689956332,0.7211538461538461,0.763179334509458,4.479295015335083,2.817335605621338
